"","Location","Station.Name","State","TimeZone","DayTimeSaving","Latitude","Longitude","Elevation","City"
"327","KNZY","North Island Nas","CA","P","y",32.71,-117.2,48.885,NA
"328","KO87","Shelter Cove","CA","P","y",40.04,-124.07,68.898,NA
"329","KOAK","Oakland","CA","P","y",37.7,-122.22,6.89,"Oakland"
"330","KOKB","Oceanside Municipal (was L32)","CA","P","y",33.219,-117.349,29.528,NA
"331","KONT","Ontario Intl Arpt","CA","P","y",34.06,-117.6,941.601,"Ontario"
"332","KOVE","Oroville","CA","P","y",39.49,-121.62,187.008,NA
"333","KOXR","Oxnard","CA","P","y",34.21,-119.2,36.089,NA
"334","KPAO","Palo Alto Airport","CA","P","y",37.48,-122.12,6.562,NA
"335","KPMD","Palmdale Production","CA","P","y",34.63,-118.08,2523.95,NA
"336","KPOC","La Verne/Brackett","CA","P","y",34.11,-117.78,1010.5,NA
"337","KPRB","Paso Robles Muni","CA","P","y",35.68,-120.63,799.869,NA
"338","KPSP","Palm Springs Rgnl","CA","P","y",33.84,-116.5,475.722,"Palm Springs"
"339","KPTV","Porterville (awos)","CA","P","y",36.04,-119.07,442.913,NA
"340","KRAL","Riverside Municipal","CA","P","y",33.95,-117.45,839.895,NA
"341","KRBL","Red Bluff Municipal","CA","P","y",40.15,-122.25,349.081,NA
"342","KRDD","Redding Municipal","CA","P","y",40.51,-122.3,501.969,"Redding"
"343","KRHV","San Jose/Reid/Hillv","CA","P","y",37.34,-121.82,134.514,NA
"344","KRIV","March AFB/Riverside","CA","P","y",33.89,-117.27,1516.08,NA
"345","KRNM","Ramona Airport","CA","P","y",33.04,-116.91,1391.08,NA
"346","KSAC","Sacramento/Executiv","CA","P","y",38.52,-121.5,15.092,NA
"347","KSAN","San Diego/Lindbergh","CA","P","y",32.73,-117.17,36.089,"San Diego"
"348","KSBA","Santa Barbara Muni","CA","P","y",34.44,-119.83,8.858,"Santa Barbara"
"349","KSBP","San Luis Obispo","CA","P","y",35.24,-120.64,216.535,"San Luis Obispo"
"350","KSCK","Stockton Metro","CA","P","y",37.91,-121.25,21.982,"Stockton"
"351","KSDB","Sandberg (aut)","CA","P","y",34.76,-118.73,4517.06,NA
"352","KSDM","San Diego/Brown Fld","CA","P","y",32.58,-116.98,522.966,NA
"353","KSEE","San Diego/Gillespie","CA","P","y",32.83,-116.97,383.858,NA
"354","KSFO","San Francisco Intl Airport","CA","P","y",37.62,-122.37,7.874,"San Francisco"
"355","KSIY","Montague/Siskiyou","CA","P","y",41.79,-122.47,2634.84,NA
"356","KSJC","San Jose International Airport","CA","P","y",37.37,-121.93,51.837,"San Jose"
"357","KSLI","Los Alamitos Aaf","CA","P","y",33.79,-118.05,36.089,NA
"358","KSMF","Sacramento Metro","CA","P","y",38.7,-121.6,22.966,"Sacramento"
"359","KSMO","Santa Monica Muni","CA","P","y",34.03,-118.45,173.885,NA
"360","KSMX","Santa Maria Public","CA","P","y",34.91,-120.45,253.937,"Santa Maria"
"361","KSNA","Santa Ana/John-Wayne","CA","P","y",33.68,-117.88,33.136,"Orange County"
"362","KSNS","Salinas Municipal","CA","P","y",36.66,-121.61,51.837,NA
"363","KSQL","San Carlos Airport","CA","P","y",37.53,-122.25,3.281,NA
"364","KSTS","Santa Rosa (awos)","CA","P","y",38.51,-122.81,124.672,"Santa Rosa"
"365","KSUU","Travis AFB/Fairfield","CA","P","y",38.28,-121.93,68.898,NA
"366","KTOA","Torrance Municipal","CA","P","y",33.8,-118.33,104.987,NA
"367","KTRK","Truckee-Tahoe","CA","P","y",39.33,-120.13,5898.95,NA
"368","KTRM","Thermal Airport","CA","P","y",33.64,-116.17,-111.877,NA
"369","KTSP","Tehachapi Municipal Airport","CA","P","y",35.135,-118.439,4001,NA
"370","KTVL","South Lake Tahoe","CA","P","y",38.91,-120,6263.12,NA
"371","KUKI","Ukiah Muni (awos)","CA","P","y",39.14,-123.2,619.094,NA
"372","KVBG","Vandenberg AFB","CA","P","y",34.73,-120.55,396.982,NA
"373","KVCB","Nut Tree Airport","CA","P","y",38.378,-121.957,111.549,NA
"374","KVCV","Southern California Logisitics Airport","CA","P","y",34.583,-117.383,2874.02,NA
"375","KVIS","Visalia Muni","CA","P","y",36.33,-119.4,291.995,NA
"376","KVNY","Van Nuys Airport","CA","P","y",34.21,-118.49,770.013,NA
"377","KWHP","Los Angeles-Whiteman Airport","CA","P","y",34.26,-118.41,1003.94,NA
"378","KWJF","Lancaster/Fox F","CA","P","y",34.73,-118.22,2338.91,NA
"379","KWVI","Bami11","CA","P","y",36.94,-121.79,157.48,NA
"380","KXVW","Vandenberg Range","CA","P","y",34.717,-120.567,328.084,NA
"381","K04V","Saguache","CO","M","y",38.1,-106.167,7824.8,NA
"382","K20V","Kremmling/McElroy Field","CO","M","y",40.05,-106.36,7411.42,NA
"383","K33V","Walden/Jackson County Airport","CO","M","y",40.75,-106.271,8153,NA
"384","K3MW","Mount Werner","CO","M","y",40.267,-106.45,10633.2,NA
"385","K4BM","Wilkerson Pass","CO","M","y",39.05,-105.514,11279.5,NA
"386","K5SM","Sunlight","CO","M","y",39.417,-107.367,10603.7,NA
"387","K7BM","Cottonwood Pass","CO","M","y",38.8,-106.217,9826.12,NA
"388","KABH","Ellicott/USAF Academy Bullseye Auxiliary Airstrip","CO","M","y",38.7578,-104.308,6037,NA
"389","KAEJ","Central Colorado Regional Airport","CO","M","y",38.8142,-106.121,7946,NA
"390","KAFF","Air Force Academy","CO","M","y",38.98,-104.82,6571.85,NA
"391","KAIB","Hopkins Field Airport","CO","M","y",38.2388,-108.563,5940,NA
"392","KAJZ","Blake Field Airport","CO","M","y",38.7864,-108.064,5193,NA
"393","KAKO","Akron/Washington Co","CO","M","y",40.17,-103.22,4662.07,NA
"394","KALS","Alamosa Muni(awos)","CO","M","y",37.46,-105.87,7539.04,NA
"395","KANK","Salida/Harriet Alexander Field","CO","M","y",38.5383,-106.049,7523,NA
"396","KAPA","Denver/Centennial","CO","M","y",39.57,-104.85,5882.55,NA
"397","KASE","Aspen/Sardy Field","CO","M","y",39.22,-106.87,8018.37,"Aspen"
"398","KBDU","Boulder Municipal Airport","CO","M","y",40.039,-105.226,5288,NA
"399","KBJC","Broomfield/Rocky Mtn Metro Airport","CO","M","y",39.91,-105.12,5656.17,NA
"400","KBKF","Buckley AFB/Aurora","CO","M","y",39.702,-104.75,5570.87,NA
"401","KCAG","Craig-Moffat(amos)","CO","M","y",40.51,-107.53,6282.81,NA
"402","KCCU","Copper Mountain (12,400 feet)","CO","M","y",39.475,-106.153,12073.5,NA
"403","KCEZ","Cortez/Montezuma Co","CO","M","y",37.3,-108.63,5915.35,NA
"404","KCOS","Colorado Springs","CO","M","y",38.83,-104.72,6201.12,"Colorado Springs"
"405","KCPW","Wolf Creek Pass (11,760 feet)","CO","M","y",37.464,-106.804,11758.5,NA
"406","KCRV","Corona Pass (11,608 feet)","CO","M","y",40.0503,-105.584,NA,NA
"407","KDEN","Denver Intnl Arpt","CO","M","y",39.87,-104.67,5414.04,"Denver"
"408","KDRO","Durango/La Plata Co","CO","M","y",37.16,-107.75,6686.35,"Durango"
"409","KEEO","Meeker","CO","M","y",40.04,-107.89,6391.08,NA
"410","KEGE","Eagle Co. Regional","CO","M","y",39.66,-106.92,6497.05,"Eagle/Vail"
"411","KEIK","Erie Municipal Airport","CO","M","y",40.01,-105.05,5130,NA
"412","KFCS","Fort Carson/Butts","CO","M","y",38.69,-104.77,5871.06,NA
"413","KFNL","Fort Collins (awos)","CO","M","y",40.46,-105.01,5016.4,NA
"414","KFTG","Front Range Airport","CO","M","y",39.785,-104.543,5606.96,NA
"415","KGJT","Grand Junction","CO","M","y",39.12,-108.53,4839.9,"Grand Junction"
"416","KGUC","Gunnison Co. (awos)","CO","M","y",38.55,-106.92,7673.88,"Gunnison"
"417","KGXY","Greeley/Weld (awos)","CO","M","y",40.43,-104.63,4658.79,NA
"418","KHDN","Hayden/Yampa (awos)","CO","M","y",40.51,-107.25,6601.05,"Hayden"
"419","KHEQ","Holyoke Airport","CO","M","y",40.5694,-102.273,3703,NA
"420","KITR","Burlington","CO","M","y",39.24,-102.29,4215.88,NA
"421","KLAA","Lamar","CO","M","y",38.07,-102.68,3704.07,NA
"422","KLHX","La Junta Municipal","CO","M","y",38.05,-103.52,4203.08,NA
"423","KLIC","Limon Municipal","CO","M","y",39.26,-103.66,5562.01,NA
"424","KLMO","Vance Brand Airport","CO","M","y",40.1643,-105.164,5055,NA
"425","KLXV","Leadville/Lake Co.","CO","M","y",39.22,-106.32,9927.82,NA
"426","KMNH","Elbert Mountain","CO","M","y",39.219,-104.641,7060.37,NA
"427","KMTJ","Montrose Co. Arpt","CO","M","y",38.51,-107.88,5757.87,"Montrose"
"428","KMYP","Monarch Pass (12,030 feet)","CO","M","y",38.497,-106.32,12030.8,NA
"429","KPSO","Stevens Field Airport","CO","M","Y",37.24,-107.03,7664,NA
"430","KPUB","Pueblo Memorial(aw)","CO","M","y",38.29,-104.52,4684.06,"Pueblo"
"431","KRIL","Rifle/Garfield Rgnl","CO","M","y",39.54,-107.72,5547.9,NA
"432","KSBS","Steamboat Springs","CO","M","y",40.48,-106.82,7050.52,NA
"433","KSPD","Springfield/Comanche Natl Grass","CO","M","y",37.28,-102.61,4379.92,NA
"434","KSTK","Sterling Municipal Airport","CO","M","y",40.6153,-103.265,4040,NA
"435","KTAD","Trinidad/Animas Co.","CO","M","y",37.26,-104.33,5745.08,NA
"436","KTEX","Telluride Regional","CO","M","y",37.94,-107.77,9084.65,NA
"437","KVTP","South La Veta Pass (10,216 feet)","CO","M","y",37.512,-105.171,10216.5,NA
"438","KBDL","Windsor Locks, Bradley International Airport","CT","E","y",41.94,-72.68,160.105,"Hartford"
"439","KBDR","Bridgeport/Igor|Sikorsky Memorial","CT","E","y",41.18,-73.13,13.123,NA
"440","KDXR","Danbury Municipal Airport","CT","E","y",41.37,-73.48,456.037,NA
"441","KGON","Groton / New London Airport","CT","E","y",41.33,-72.05,9.843,NA
"442","KHFD","Hartford-Brainard Airport","CT","E","y",41.73,-72.65,20.013,NA
"443","KHVN","New Haven/Tweed","CT","E","y",41.28,-72.88,5.906,"New Haven"
"444","KIJD","Willimantic, Windham Airport","CT","E","y",41.75,-72.18,249.344,NA
"445","KMMK","Meriden Markham Municipal Airport","CT","E","y",41.51,-72.83,101.706,NA
"446","KOXC","Oxford Automatic Weather Observing / Reporting Sys","CT","E","y",41.41,-73.1,728.346,NA
"447","KSNC","Chester","CT","E","y",41.3839,-72.5058,NA,NA
"448","KDOV","Dover Air Force Base","DE","E","y",39.14,-75.47,22.966,NA
"449","KGED","Georgetown, Sussex County Airport","DE","E","y",38.7,-75.36,52.493,NA
"450","KILG","Wilmington, New Castle County Airport","DE","E","y",39.68,-75.6,74.147,NA
"451","TDCF","Canefield Airport","DM","A","n",15.533,-61.4,16.404,NA
"452","NFFN","Nandi","FJ","R","n",-17.75,177.45,59.055,NA
"453","NFNA","Nausori","FJ","R","n",-18.05,178.567,22.966,NA
"454","K0J4","Florala Municipal Airport","FL","E","y",31.033,-86.317,1030.18,NA
"455","K40J","Perry-Foley Airport","FL","E","y",30.07,-83.57,42.651,NA
"456","K42J","Keystone Airpark","FL","E","y",29.8448,-82.0475,196,NA
"457","KAAF","Apalachicola","FL","E","y",29.728,-85.027,20.013,NA
"458","KAMX","Miami Nexrad","FL","E","y",25.617,-80.417,111.549,NA
"459","KAPF","Naples Municipal","FL","E","y",26.15,-81.77,9.843,NA
"460","KBCT","Boca Raton Airport","FL","E","y",26.38,-80.1,13.123,NA
"461","KBKV","Brooksville, Hernando County Airport","FL","E","y",28.47,-82.45,75.459,NA
"462","KBOW","Bartow Municipal","FL","E","y",27.95,-81.78,127.953,NA
"463","KCEW","Crestview, Sikes Airport","FL","C","y",30.79,-86.52,189.961,NA
"464","KCOF","Cocoa Beach / Patrick Air Force Base","FL","E","y",28.23,-80.6,9.843,NA
"465","KCRG","Jacksonville, Craig Municipal Airport","FL","E","y",30.33,-81.52,39.37,NA
"466","KCTY","Cross City Airport","FL","E","y",29.64,-83.1,38.058,NA
"467","KDAB","Daytona Beach International Airport","FL","E","y",29.18,-81.05,28.871,"Daytona Beach"
"468","KDED","Deland Municipal Airport","FL","E","y",29.07,-81.28,80,NA
"469","KDTS","Destin, Ft. Walton Beach Airport","FL","C","y",30.4,-86.47,22.966,NA
"470","KECP","Northwest Florida - Panama City International Airp","FL","C","y",30.3582,-85.7956,69,"Panama City"
"471","KEVB","New Smyrna Beach Municipal Airport","FL","E","y",29.05,-80.95,9.843,NA
"472","KEYW","Key West Airport","FL","E","y",24.55,-81.75,3.937,"Key West"
"473","KFHB","Fernandina Beach Municipal Airport","FL","E","y",30.6118,-81.4612,16,NA
"474","KFLL","Fort Lauderdale / Hollywood Intl Airport","FL","E","y",26.07,-80.15,7.874,"Fort Lauderdale"
"475","KFMY","Fort Myers, Page Field","FL","E","y",26.58,-81.87,15.092,NA
"476","KFPR","Fort Pierce, St. Lucie County Intl Airport","FL","E","y",27.5,-80.37,22.966,NA
"477","KFXE","Fort Lauderdale Executive Airport","FL","E","y",26.2,-80.17,13.123,NA
"478","KGIF","Gilbert Field","FL","E","y",28.05,-81.75,144.357,NA
"479","KGNV","Gainesville Regional Airport","FL","E","y",29.68,-82.27,133.858,"Gainesville"
"480","KHRT","Hurlburt Field","FL","E","y",30.43,-86.68,39.042,NA
"481","KHST","Homestead Air Force Base","FL","E","y",25.48,-80.38,9.843,NA
"482","KHWO","Hollywood, North Perry Airport","FL","E","y",26,-80.24,6.562,NA
"483","KISM","Orlando, Kissimmee Municipal Airport","FL","E","y",28.29,-81.437,82.021,NA
"484","KJAX","Jacksonville International Airport","FL","E","y",30.43,-81.7,39.042,"Jacksonville"
"485","KLAL","Lakeland Regional","FL","E","y",28.04,-81.95,144.357,NA
"486","KLEE","Leesburg International Airport","FL","E","y",28.82,-81.81,76,NA
"487","KMAI","Marianna Municipal Airport","FL","C","y",30.8,-85.21,112.861,NA
"488","KMCF","Macdill Air Force Base, Fl.","FL","E","y",27.86,-82.52,13.123,NA
"489","KMCO","Orlando International Airport","FL","E","y",28.43,-81.32,98.097,"Orlando"
"490","KMIA","Miami International Airport","FL","E","y",25.78,-80.32,35.105,"Miami"
"491","KMLB","Melbourne International Airport","FL","E","y",28.11,-80.63,35.105,"Melbourne"
"492","KMTH","Marathon Airport","FL","E","y",24.74,-81.05,6.562,NA
"493","KNIP","Jacksonville, Naval Air Station","FL","E","y",30.23,-81.68,29.856,NA
"494","KNPA","Pensacola, Naval Air Station","FL","C","y",30.36,-87.32,33.136,NA
"495","KNQX","Boca Chica Naval Air Station","FL","E","y",24.57,-81.68,22.966,NA
"496","KNRB","Mayport Naval Station","FL","E","y",30.4,-81.42,16.076,NA
"497","KNSE","Milton, Whiting Field North","FL","C","y",30.72,-87.02,176.837,NA
"498","KOBE","Okeechobee County Airport","FL","E","y",27.26,-80.85,34,NA
"499","KOCF","Ocala Municipal Automatic Weather Observing","FL","E","y",29.18,-82.22,88.583,NA
"500","KOMN","Ormond Beach Municipal Airport","FL","E","y",29.3,-81.1,29.528,NA
"501","KOPF","Miami, Opa Locka Airport","FL","E","y",25.91,-80.28,9.843,NA
"502","KORL","Orlando Executive Airport","FL","E","y",28.55,-81.33,104.987,NA
"503","KPAM","Tyndall Air Force Base","FL","C","y",30.07,-85.59,22.966,NA
"504","KPBI","West Palm Beach, Palm Beach International Airport","FL","E","y",26.68,-80.12,20.013,"West Palm Beach"
"505","KPCM","Plant City Airport","FL","E","y",28.0002,-82.1642,154,NA
"506","KPFN","Panama City-Bay County Intl Airport","FL","C","y",30.2,-85.68,19.685,NA
"507","KPGD","Punta Gorda, Charlotte County Airport","FL","E","y",26.92,-81.99,22.966,"Punta Gorda"
"508","KPIE","St. Petersburg / Clea","FL","E","y",27.91,-82.69,9.843,"St. Petersburg"
"509","KPMP","Pompano Beach Airpark","FL","E","y",26.25,-80.11,19.685,NA
"510","KPNS","Pensacola International Airport","FL","C","y",30.47,-87.2,111.877,"Pensacola"
"511","KRSW","Fort Myers, SW Florida Intl Airport","FL","E","y",26.54,-81.76,29.528,"Fort Myers"
"512","KSFB","Orlando / Sanford Airport","FL","E","y",28.78,-81.24,55.118,"Sanford"
"513","KSGJ","St. Augustine Airport","FL","E","y",29.97,-81.33,9.843,NA
"514","KSPG","St. Petersburg, Whitted Airport","FL","E","y",27.77,-82.63,7.874,NA
"515","KSRQ","Sarasota-Bradenton Intl Airport","FL","E","y",27.4,-82.55,32.808,"Sarasota"
"516","KSUA","Stuart, Witham Field Airport","FL","E","y",27.182,-80.221,19.685,NA
"517","KTIX","Titusville","FL","E","y",28.52,-80.8,36.089,NA
"518","KTLH","Tallahassee Regional Airport","FL","E","y",30.4,-84.35,68.898,"Tallahassee"
"519","KTMB","Miami, Kendall-Tamiami Executive Airport","FL","E","y",25.65,-80.43,9.843,NA
"520","KTPA","Tampa International Airport","FL","E","y",27.97,-82.53,9.843,"Tampa"
"521","KTPF","Peter O Knight Airport","FL","E","y",27.9156,-82.4493,8,NA
"522","KTTS","NASA Shuttle Landing Facility","FL","E","y",28.62,-80.72,9.843,NA
"523","KVDF","Vandenberg Airport","FL","E","y",28.01,-82.35,22.966,NA
"524","KVPS","Valparaiso / Eglin Air Force Base","FL","C","y",30.48,-86.53,65.945,"Fort Walton Beach"
"525","KVQQ","Jacksonville, Cecil Field Airport","FL","E","y",30.217,-81.876,88.911,NA
"526","KVRB","Vero Beach Municipal Airport","FL","E","y",27.65,-80.42,23.95,"Vero Beach"
"527","KVVG","The Villages","FL","E","y",28.962,-81.97,88.583,NA
"528","KXFL","Flagler County Airport","FL","E","y",29.4674,-81.2063,33,NA
"529","KXMR","Cape Canaveral Air Force Station Skid Strip","FL","E","y",28.4677,-80.5668,10,NA
"530","PTKK","Chuuk Intl Weno Is","FM","G","n",7.47,151.85,4.921,NA
"531","PTPN","Pohnpei Intl Airport","FM","F","n",6.97,158.22,120.079,NA
"532","PTSA","Kosrae Island Airport","FM","F","n",5.333,163.033,13.123,NA
"533","PTTP","Pohnpei","FM","F","n",6.95,158.25,127.953,NA
"534","PTYA","Yap Intl Airport","FM","G","n",9.483,138.083,43.963,NA
"535","K11J","Early County Airport","GA","E","y",31.397,-84.895,213.255,NA
"536","K27A","Elbert Co. Airport-Patz Field","GA","E","y",34.095,-82.816,603.675,NA
"537","K3J7","Greene County Regional Airport","GA","E","y",33.6,-83.133,675.853,NA
"538","KABY","Albany, Southwest Georgia Regional Airport","GA","E","y",31.54,-84.18,189.961,"Albany"
"539","KAGS","Augusta, Bush Field","GA","E","y",33.38,-81.97,131.89,"Augusta"
"540","KAHN","Athens Airport","GA","E","y",33.96,-83.32,799.869,NA
"541","KAMG","Alma, Bacon County Airport","GA","E","y",31.54,-82.5,206.037,NA
"542","KATL","Hartsfield-Jackson/Atlanta International Airport","GA","E","y",33.66,-84.42,1009.84,"Atlanta"
"543","KAYS","Waycross / Ware County","GA","E","y",31.25,-82.4,140.092,NA
"544","KBGE","Bainbridge","GA","E","y",30.97,-84.63,141.076,NA
"545","KBIJ","Early County Airport","GA","E","y",31.3969,-84.895,NA,NA
"546","KBQK","Brunswick / Glynco","GA","E","y",31.15,-81.38,26.247,"Brunswick"
"547","KCCO","Newnan Coweta County Airport","GA","E","y",33.31,-84.77,971.129,NA
"548","KCNI","Cherokee County Airport","GA","E","y",34.3106,-84.4239,1219,NA
"549","KCSG","Columbus Metropolitan Airport","GA","E","y",32.53,-84.93,387.139,"Columbus"
"550","KDBN","W H `Bud` Barron Airport","GA","E","y",32.567,-82.983,308.399,NA
"551","KDNL","Augusta, Daniel Field","GA","E","y",33.47,-82.03,419.948,NA
"552","KDNN","Dalton Municipal Airport","GA","E","y",34.72,-84.87,708.661,NA
"553","KDQH","Douglas Municipal Airport","GA","E","y",31.477,-82.861,255.906,NA
"554","KDZJ","Blairsville Airport","GA","E","y",34.8544,-83.9973,1911,NA
"555","KFFC","Atlanta, Peachtree City-Falcon Field","GA","E","y",33.35,-84.56,808,NA
"556","KFTY","Atlanta, Fulton County Airport-Brown Field","GA","E","y",33.78,-84.52,862.861,NA
"557","KGVL","Gainesville, Gilmer Memorial Airport","GA","E","y",34.26,-83.83,1276.25,NA
"558","KHOE","Homerville Airport","GA","E","y",31.0559,-82.7741,186,NA
"559","KHQU","Thomson-McDuffie County Airport","GA","E","y",33.53,-82.516,498.688,NA
"560","KIIY","Washington-Wilkes County Airport","GA","E","y",33.78,-82.82,646.325,NA
"561","KJES","Jesup-Wayne County Airport","GA","E","y",31.554,-81.8825,107,NA
"562","KJYL","Plantation Airpark","GA","E","y",32.645,-81.596,187.008,NA
"563","KLGC","La Grange-Callawy Airport","GA","E","y",33.009,-85.073,692.257,NA
"564","KLHW","Ft. Stewart","GA","E","y",31.88,-81.57,45.932,NA
"565","KLSF","Fort Benning","GA","E","y",32.34,-85,226.05,NA
"566","KLZU","Lawrenceville, Gwinnett Co-Briscoe Field Airport","GA","E","y",33.978,-83.962,1059.71,NA
"567","KMCN","Macon, Middle Georgia Regional Airport","GA","E","y",32.71,-83.65,354.003,"Macon"
"568","KMGE","Marietta / Dobbins Air Force Base","GA","E","y",33.93,-84.52,1009.84,NA
"569","KMGR","Moultrie Municipal Airport","GA","E","y",31.085,-83.803,295.276,NA
"570","KMLJ","Baldwin County Airport","GA","E","y",33.15,-83.233,383.858,NA
"571","KOPN","Thomaston-Upson County Airport","GA","E","y",32.955,-84.263,797.244,NA
"572","KPDK","Atlanta, DeKalb-Peachtree Airport","GA","E","y",33.88,-84.3,1026.9,NA
"573","KRMG","Rome, R. B. Russell Airport","GA","E","y",34.36,-85.17,639.108,NA
"574","KRYY","Marietta, Cobb County-McCollum Field Airport","GA","E","y",34.013,-84.599,1040.03,NA
"575","KSAV","Savannah International Airport","GA","E","y",32.14,-81.2,45.932,"Savannah"
"576","KSSI","Brunswick/Malcom-McKinnon","GA","E","y",31.15,-81.38,14.108,NA
"577","KSVN","Hunter U. S. Army Airfield","GA","E","y",32.03,-81.15,42.651,NA
"578","KTBR","Statesboro-Bulloch County Airport","GA","E","y",32.482,-81.737,187.008,NA
"579","KVAD","Moody Air Force Base","GA","E","y",30.97,-83.2,232.94,NA
"580","KVDI","Vidalia Municipal Airport","GA","E","y",32.193,-82.372,275.591,NA
"581","KVLD","Valdosta Regional Airport","GA","E","y",30.79,-83.28,200.131,"Valdosta"
"582","KVPC","Cartersville Airport","GA","E","y",34.13,-84.85,751.312,NA
"583","KWDR","Winder-Barrow Airport","GA","E","y",33.982,-83.668,941.601,NA
"584","KWRB","Robins Air Force Base","GA","E","y",32.64,-83.6,301.837,NA
"585","TGPY","Point Salines Airport","GD","A","n",12,-61.783,22.966,NA
"586","PGRO","Rota/Intl","GU","G","n",14.18,145.25,587.27,"Rota Island"
"587","PGSN","Saipan Intl Airport","GU","G","n",15.12,145.73,104.987,"Obyan, Saipan Island"
"588","PGUA","Andersen AFB","GU","G","n",13.58,144.93,531.496,NA
"589","PGUM","Guam International","GU","G","n",13.48,144.8,253.937,"Agana / Tamuning"
"590","PGWT","West Tinian Tinian Is","GU","G","n",14.97,145.6,278.871,"Tinian Island"
"591","PHBK","Kekaha / Barking Sand","HI","H","n",22.07,-159.78,13.123,NA
"592","PHHI","Wheeler Army Airfield","HI","H","n",21.48,-158.03,827.1,NA
"593","PHHN","Hana","HI","H","n",20.784,-156.014,78.74,NA
"594","PHJH","Lahaina / West Maui","HI","H","n",21.02,-156.63,262.467,NA
"595","PHJR","Kalaeloa Airport","HI","H","n",21.32,-158.07,48.885,NA
"596","PHKO","Kailua / Kona, Keahole Airport","HI","H","n",19.65,-156,49.213,"Kailua-Kona, Hawaii"
"597","PHLI","Lihue Airport","HI","H","n",21.98,-159.35,103.018,"Lihue, Kauai"
"598","PHMK","Molokai Airport","HI","H","n",21.15,-157.1,449.475,"Kaunakakai, Molokai"
"599","PHNG","Kaneohe Bay MCAF","HI","H","n",21.45,-157.783,9.843,NA
"600","PHNL","Honolulu International Airport","HI","H","n",21.35,-157.93,6.89,"Honolulu, Oahu"
"601","PHNY","Lanai City Airport","HI","H","n",20.78,-156.95,1341.86,"Lanai City, Lanai"
"602","PHOG","Kahului Airport","HI","H","n",20.9,-156.43,47.9,"Kahului, Maui"
"603","PHSF","Bradshaw Army Air Field","HI","H","n",19.78,-155.55,6345.14,NA
"604","PHTO","Hilo International Airport","HI","H","n",19.72,-155.07,29.856,"Hilo, Hawaii"
"605","PMDY","Midway NAF","HI","S","n",28.22,-177.37,22.966,NA
"606","PWAK","Wake Island Airfield","HI","R","n",19.283,166.5,13.123,NA
"607","KADU","Audubon County Airport","IA","C","y",41.7,-94.92,1286.09,NA
"608","KAIO","Atlantic","IA","C","y",41.4,-95.05,1181.1,NA
"609","KALO","Waterloo Municipal Airport","IA","C","y",42.55,-92.4,865.157,"Waterloo"
"610","KAMW","Ames Municipal Airport","IA","C","y",41.99,-93.62,954.724,NA
"611","KAWG","Washington","IA","C","y",41.28,-91.67,754.593,NA
"612","KAXA","Algona","IA","C","y",43.08,-94.27,1220.47,NA
"613","KBNW","Boone Municipal","IA","C","y",42.05,-93.85,1161.42,NA
"614","KBRL","Burlington Regional Airport","IA","C","y",40.79,-91.12,691.929,NA
"615","KCAV","Clarion","IA","C","y",42.75,-93.77,1161.42,NA
"616","KCBF","Council Bluffs","IA","C","y",41.27,-95.77,1253.28,NA
"617","KCCY","Charles City","IA","C","y",43.07,-92.62,1125.33,NA
"618","KCID","Cedar Rapids, The Eastern Iowa Airport","IA","C","y",41.89,-91.7,839.895,"Cedar Rapids"
"619","KCIN","Carroll","IA","C","y",42.05,-94.78,1230.31,NA
"620","KCKP","Cherokee Municipal Airport","IA","C","y",42.732,-95.556,1227.03,NA
"621","KCNC","Chariton","IA","C","y",41.03,-93.37,1049.87,NA
"622","KCSQ","Creston","IA","C","y",41.02,-94.37,1292.65,NA
"623","KCWI","Clinton Municipal Automatic Weather Observing","IA","C","y",41.84,-90.34,708.661,NA
"624","KDBQ","Dubuque Regional Airport","IA","C","y",42.41,-90.7,1056.1,"Dubuque"
"625","KDEH","Decorah","IA","C","y",43.28,-91.73,1158.14,NA
"626","KDNS","Denison","IA","C","y",41.98,-95.38,1272.97,NA
"627","KDSM","Des Moines International Airport","IA","C","y",41.54,-93.65,957.021,"Des Moines"
"628","KDVN","Davenport Municipal Airport","IA","C","y",41.62,-90.58,753,NA
"629","KEBS","Webster City","IA","C","y",42.43,-93.87,1122.05,NA
"630","KEOK","Keokuk Municipal","IA","C","y",40.47,-91.43,672.572,NA
"631","KEST","Estherville Municipal Airport","IA","C","y",43.4,-94.75,1315.62,NA
"632","KFFL","Fairfield","IA","C","y",41.05,-91.98,800.525,NA
"633","KFOD","Fort Dodge","IA","C","y",42.55,-94.18,1164.7,NA
"634","KFSW","Fort Madison","IA","C","y",40.67,-91.33,725.066,NA
"635","KFXY","Forest City Municipal Airport","IA","C","y",43.235,-93.624,1230,NA
"636","KGGI","Grinnell Regional Airport","IA","C","y",41.7092,-92.7349,1008,NA
"637","KHNR","Harlan Municipal Airport","IA","C","y",41.584,-95.34,1230.31,NA
"638","KI75","Osceola Municipal Airport","IA","C","y",41.0522,-93.6597,1109,NA
"639","KICL","Clarinda","IA","C","y",40.72,-95.03,994.094,NA
"640","KIFA","Iowa Falls Municipal Airport","IA","C","y",42.4708,-93.27,1137,NA
"641","KIIB","Independence Muni Airport","IA","C","y",42.454,-91.948,977.69,NA
"642","KIKV","Ankeny Regional Airport","IA","C","y",41.69,-93.57,902.231,NA
"643","KIOW","Iowa City Municipal Airport","IA","C","y",41.633,-91.543,649.934,NA
